method,endpoint,status_code,response_time,request_size,hour
GET,/users,200,102,1080,16
GET,/users,200,130,1024,15
GET,/products/371,200,144,846,14
GET,/products/36,200,113,1035,9
GET,/products/282,200,120,929,10
GET,/products/216,200,156,912,10
GET,/users/3842,200,115,887,17
GET,/users,200,109,1112,17
GET,/users,200,96,986,12
POST,/payments,201,376,1490,16
GET,/users,200,110,1027,9
POST,/api/search,200,322,1078,19
POST,/api/search,200,288,975,12
GET,/users/4522,200,100,738,12
GET,/products/709,200,97,935,12
GET,/users/3959,200,106,710,18
POST,/api/search,200,217,1174,14
POST,/payments,201,313,1513,14
GET,/users/2675,200,72,743,15
GET,/health,200,14,158,2
GET,/users,200,141,1135,14
GET,/users/1747,200,80,712,14
GET,/products/690,200,124,1011,19
GET,/health,200,13,148,16
POST,/api/search,200,274,980,15
POST,/payments,201,313,1331,20
GET,/health,200,13,157,3
GET,/users,200,120,1132,14
GET,/users,200,128,977,12
GET,/users,200,156,1043,8
POST,/api/search,200,268,1056,23
GET,/health,200,6,144,3
GET,/users/4795,200,104,788,15
POST,/api/search,200,295,1195,18
POST,/api/search,200,246,944,13
GET,/users/1377,200,90,806,14
GET,/products/1,200,97,984,15
POST,/payments,201,349,1483,15
POST,/api/search,200,262,1005,16
GET,/products/508,200,143,964,11
POST,/payments,201,396,1637,18
POST,/payments,201,287,1619,12
GET,/products/89,200,129,928,20
GET,/products/49,200,125,1056,16
POST,/api/search,200,280,999,20
POST,/api/search,200,186,1016,15
GET,/products/519,200,134,990,18
GET,/health,200,16,147,13
GET,/users/3447,200,94,797,8
GET,/users/860,200,89,826,11
GET,/health,200,13,149,19
GET,/users,200,118,1090,17
GET,/users,200,112,1015,17
GET,/health,200,14,147,7
POST,/payments,201,386,1532,13
GET,/users,200,86,1043,9
GET,/users/1375,200,81,747,18
POST,/payments,201,362,1224,17
POST,/payments,201,450,1680,10
GET,/users,200,131,992,16
POST,/api/search,200,273,982,12
GET,/users,200,144,923,8
POST,/payments,201,318,1313,20
POST,/payments,201,293,1520,15
GET,/users/1660,200,108,835,11
POST,/api/search,200,200,770,18
POST,/api/search,200,269,1110,13
GET,/health,200,9,143,13
GET,/users,200,119,913,12
GET,/products/167,200,110,1002,12
POST,/api/search,200,294,927,12
GET,/health,200,19,140,17
GET,/products/547,200,113,795,20
POST,/payments,201,277,1423,22
GET,/users/1012,200,108,749,8
GET,/users/3210,404,99,846,12
GET,/users/3162,200,122,828,14
GET,/users/1570,200,107,746,11
POST,/api/search,200,240,947,14
GET,/products/595,200,153,909,11
GET,/products/297,200,163,829,12
GET,/products/882,200,121,873,15
GET,/health,200,12,145,2
POST,/api/search,200,238,1166,13
GET,/health,200,12,147,6
GET,/users/130,200,105,870,14
GET,/products/57,200,108,913,10
POST,/api/search,200,291,889,17
POST,/api/search,200,232,1047,17
POST,/payments,201,329,1392,19
POST,/api/search,200,225,983,12
GET,/users,200,121,1075,16
GET,/health,200,13,169,8
POST,/payments,201,244,1601,10
GET,/products/770,200,134,988,14
POST,/api/search,200,250,1015,16
POST,/payments,201,298,1601,14
GET,/users/2874,200,86,672,12
GET,/users/399,200,96,861,9
POST,/payments,201,319,1388,10
GET,/users/1104,200,107,846,8
GET,/health,200,12,142,16
POST,/api/search,200,224,903,22
POST,/payments,201,351,1590,15
POST,/api/search,200,264,1047,18
POST,/payments,201,311,1661,13
POST,/api/search,200,267,1011,14
POST,/payments,201,305,1387,20
POST,/payments,201,308,1543,14
GET,/health,200,11,147,16
POST,/payments,201,345,1639,19
GET,/products/274,200,131,884,15
GET,/users/2899,200,90,813,9
POST,/payments,201,294,1573,11
POST,/api/search,200,251,981,18
POST,/api/search,200,212,986,12
GET,/products/621,200,119,844,16
GET,/products/216,200,136,996,18
GET,/users/1148,200,105,734,10
GET,/products/622,200,120,968,14
GET,/products/78,200,108,929,12
GET,/users/1282,200,71,682,20
GET,/admin/config.php,403,15,117,3
GET,/health,200,11,153,19
GET,/products/353,200,127,1086,17
POST,/payments,201,402,1703,18
GET,/health,200,14,160,5
POST,/api/search,200,236,1098,12
GET,/users/4300,200,64,847,12
GET,/users,200,125,910,12
GET,/users/3019,200,97,630,17
GET,/health,200,9,133,12
POST,/api/search,200,242,883,17
GET,/users,200,10148,1334,19
GET,/users/4044,200,95,758,13
POST,/api/search,200,240,1029,22
GET,/users/414,200,106,698,12
POST,/payments,201,350,1406,10
GET,/users/1596,200,79,786,14
POST,/api/search,200,275,981,19
GET,/products/659,200,113,996,15
GET,/health,200,11,163,0
POST,/payments,201,306,1639,18
POST,/payments,201,358,1466,18
GET,/users/2506,200,115,741,16
POST,/payments,201,391,1568,16
POST,/payments,201,356,1263,18
GET,/users,200,149,1129,15
GET,/health,200,13,146,3
GET,/users/4023,200,81,762,20
POST,/api/search,200,240,862,20
POST,/api/search,200,261,1020,16
GET,/users/1048,200,89,797,14
POST,/api/search,200,257,949,16
POST,/api/search,200,224,932,15
GET,/health,200,10,143,2
GET,/products/16,200,120,938,14
GET,/users,200,129,1042,14
POST,/api/search,503,4415,2342,23
GET,/users/469,200,101,834,14
POST,/payments,201,311,1651,11
GET,/users/251,200,118,788,18
GET,/users,200,98,1123,15
POST,/payments,201,381,1384,21
GET,/health,200,10,148,19
GET,/products/307,200,140,910,12
GET,/users,200,122,1101,10
GET,/health,200,8,147,7
POST,/api/search,200,289,1042,19
POST,/api/search,200,178,857,20
GET,/users,200,123,1076,13
POST,/api/search,200,196,998,18
POST,/payments,201,324,1466,15
GET,/health,200,11,152,18
POST,/payments,201,375,1417,11
POST,/payments,201,301,1627,20
GET,/users,200,117,1153,11
GET,/users,200,110,1064,13
GET,/users,200,128,1097,16
GET,/health,200,14,161,2
GET,/users,200,117,1123,12
GET,/products/657,200,123,942,11
GET,/products/293,200,131,1041,21
GET,/health,200,21,132,1
GET,/users/2875,200,96,862,18
POST,/payments,201,292,1399,17
POST,/payments,201,364,1418,14
GET,/users,200,145,860,12
GET,/health,200,11,136,8
GET,/users,200,122,1105,8
GET,/health,200,17,151,12
GET,/users,200,140,1054,8
GET,/users,200,135,1018,9
POST,/api/search,200,265,990,12
POST,/api/search,200,309,855,13
GET,/users,200,125,1060,14
GET,/users,200,113,999,13
POST,/payments,201,286,1411,10
GET,/products/83,200,134,961,18
POST,/api/search,200,248,1021,18
GET,/products/691,200,94,983,13
GET,/health,200,11,158,12
GET,/users,200,120,1136,18
POST,/api/search,200,225,1176,19
POST,/payments,201,431,1563,18
GET,/health,200,15,144,7
GET,/users/2616,200,94,814,11
GET,/users/4096,200,99,797,13
GET,/users,200,132,1079,8
GET,/users/348,200,99,792,16
GET,/users,200,154,998,13
POST,/payments,201,401,1564,13
GET,/products/511,200,155,918,16
POST,/payments,201,293,1614,14
POST,/api/search,200,247,1046,13
GET,/products/870,200,113,1068,14
GET,/users/700,200,96,912,18
POST,/payments,201,316,1377,16
GET,/users/104,200,100,788,20
GET,/health,200,14,151,11
POST,/users,200,1039,210102,2
GET,/products/791,200,125,1036,20
POST,/payments,201,352,1538,13
POST,/api/search,200,275,953,15
POST,/api/search,200,275,994,15
POST,/payments,201,325,1457,14
POST,/payments,201,391,1346,20
GET,/health,200,13,168,16
GET,/products/188,200,120,868,19
GET,/users/201,200,99,795,15
GET,/health,200,6,155,19
GET,/users/1388,200,100,741,13
GET,/users/1039,200,9540,455,13
POST,/api/search,200,219,937,20
GET,/products/16,200,127,1086,12
GET,/products/208,200,152,938,21
GET,/users,200,128,1071,10
GET,/users/4755,200,96,908,17
POST,/payments,201,304,1438,20
GET,/health,200,12,127,16
GET,/users,200,153,1068,10
GET,/users,200,117,971,9
POST,/payments,201,390,1585,16
POST,/api/search,200,274,1064,20
GET,/users,200,114,1044,11
GET,/users/902,200,82,742,8
GET,/health,200,9,151,9
GET,/users,200,129,965,15
GET,/products/896,200,139,1009,21
POST,/api/search,200,241,1009,16
POST,/payments,201,240,1285,18
POST,/api/search,200,305,1078,22
GET,/products/598,200,133,810,20
GET,/users,200,129,1065,10
POST,/api/search,200,233,968,23
GET,/health,200,5,145,15
GET,/users/3186,200,79,822,13
GET,/health,200,12,149,9
POST,/api/search,200,230,905,20
POST,/api/search,200,255,1082,17
GET,/products/812,200,126,839,12
POST,/payments,201,395,1448,20
GET,/users/3039,200,86,847,13
POST,/payments,201,337,1463,15
POST,/payments,201,368,1660,19
POST,/api/search,200,273,1036,23
POST,/payments,201,357,1286,21
GET,/health,200,12,158,5
GET,/health,200,12,143,19
POST,/api/search,200,269,882,14
GET,/products/460,200,167,1063,11
POST,/payments,201,354,1305,22
GET,/products/217,200,114,801,21
GET,/health,200,16,162,2
GET,/users,200,9973,549,23
POST,/api/search,200,238,1045,22
GET,/products/837,200,144,937,17
GET,/users/3173,200,91,672,19
GET,/users,200,111,1062,10
POST,/payments,201,226,1351,21
POST,/api/search,200,281,1150,20
GET,/users/2849,200,115,805,11
POST,/api/search,200,223,1024,17
GET,/products/419,200,122,956,10
POST,/api/search,200,257,1117,21
GET,/health,200,11,155,17
POST,/payments,201,284,1526,11
GET,/users/2870,200,77,718,17
GET,/users,200,111,919,18
GET,/users,200,100,1161,9
POST,/payments,201,318,1507,12
POST,/payments,201,361,1579,10
POST,/api/search,200,294,1054,13
GET,/users,200,103,961,18
GET,/products/666,200,144,1029,16
POST,/payments,201,329,1721,19
GET,/products/151,200,144,924,20
GET,/users/3814,200,94,765,10
POST,/payments,201,296,1453,14
GET,/users/3730,200,114,815,8
POST,/payments,201,362,1568,21
POST,/api/search,200,277,1018,17
GET,/health,200,15,153,16
GET,/health,200,14,153,22
GET,/health,200,11,155,16
GET,/users/1232,200,104,802,16
GET,/users,200,125,1005,9
GET,/users/1948,200,99,794,14
POST,/api/search,200,278,996,14
GET,/products/321,200,147,1079,10
POST,/payments,201,272,1513,18
GET,/users,200,84,1182,11
POST,/api/search,200,238,877,20
POST,/payments,201,455,1622,14
GET,/products/446,200,146,966,12
GET,/users/3725,200,99,744,13
GET,/users/2513,200,69,814,10
POST,/api/search,200,227,967,21
GET,/users/4387,200,86,743,18
GET,/health,200,10,137,2
POST,/api/search,200,301,893,17
POST,/payments,201,326,1527,17
GET,/health,200,8,150,11
GET,/health,404,12,161,5
POST,/payments,201,345,1835,20
GET,/products/720,200,125,1017,18
GET,/users/3256,200,99,808,11
GET,/users/298,200,118,793,18
GET,/users/3961,200,111,684,10
POST,/api/search,200,215,955,21
GET,/products/335,200,111,942,17
GET,/products/224,200,148,982,21
GET,/users/1000,200,94,805,8
GET,/products/578,200,108,1039,12
POST,/api/search,404,269,920,13
GET,/products/345,200,126,928,10
GET,/users/4304,200,98,689,20
GET,/users/1513,200,107,642,19
POST,/payments,201,350,1522,18
GET,/health,200,16,158,17
GET,/users/4063,200,105,655,20
POST,/api/search,200,298,998,17
GET,/users,200,138,1080,17
POST,/api/search,200,263,1086,16
GET,/health,200,16,143,15
POST,/api/search,200,289,1040,16
GET,/products/200,200,120,996,18
GET,/users,200,114,967,11
POST,/api/search,200,220,1005,20
GET,/health,200,12,159,18
GET,/users/4726,200,96,814,17
GET,/users,200,142,1027,14
POST,/payments,201,431,1199,15
GET,/users,200,107,1077,18
POST,/payments,201,388,1471,20
GET,/health,200,11,142,12
GET,/users/373,200,99,795,16
POST,/api/search,200,269,1083,20
GET,/products/602,200,154,902,21
POST,/payments,201,384,1401,10
POST,/api/search,200,222,1006,16
GET,/products/185,200,145,1121,13
POST,/payments,201,370,1718,12
POST,/api/search,200,242,854,13
GET,/users,200,130,1039,9
POST,/payments,201,258,1553,14
GET,/health,200,19,128,19
POST,/payments,201,344,1615,17
GET,/users/1627,200,80,795,10
POST,/payments,201,387,1555,14
GET,/health,200,16,133,20
GET,/products/255,200,121,986,13
POST,/payments,201,327,1672,19
POST,/api/search,200,231,1026,13
GET,/users/3460,200,98,834,17
POST,/api/search,200,271,1068,22
GET,/health,200,12,150,21
GET,/products/532,200,117,971,14
POST,/payments,201,341,1497,22
POST,/api/search,200,304,908,22
POST,/payments,201,270,1582,17
GET,/users,200,121,1021,10
POST,/payments,201,365,1586,19
POST,/payments,201,313,1622,21
GET,/products/424,200,128,985,14
POST,/payments,201,346,1531,13
POST,/api/search,200,246,1014,13
GET,/users/77,200,82,892,8
GET,/health,200,14,150,17
POST,/payments,201,342,1628,22
GET,/products/835,200,105,858,15
GET,/users/1912,200,103,737,17
POST,/users,500,2500,1236,3
GET,/users,200,103,983,8
POST,/api/search,200,204,836,19
GET,/products/306,200,117,913,13
POST,/payments,500,6014,4221,7
GET,/health,200,12,154,3
POST,/api/search,200,285,893,20
POST,/payments,201,350,1270,17
GET,/users,200,131,946,14
GET,/products/564,200,135,893,10
GET,/users/3708,200,87,764,9
GET,/users/4373,200,104,730,15
GET,/health,200,10,160,4
POST,/payments,201,380,1524,11
POST,/api/search,200,205,925,21
GET,/users,200,100,1195,18
GET,/health,200,13,158,13
GET,/health,200,14,134,6
GET,/products/121,200,178,1054,15
GET,/users/2372,200,92,786,19
GET,/users/2320,200,80,786,17
POST,/api/search,200,277,1186,13
GET,/users,200,99,921,10
GET,/users/4815,200,91,728,10
POST,/payments,201,329,1637,10
GET,/health,200,10,152,9
POST,/payments,201,366,1433,19
GET,/users,200,135,1071,11
GET,/users,200,13731,897,6
POST,/payments,201,352,1446,20
POST,/payments,201,308,1399,12
GET,/users/3226,200,103,892,12
GET,/users,200,89,987,13
POST,/api/search,200,304,918,13
POST,/payments,201,348,1518,11
GET,/products/607,200,97,956,16
GET,/health,200,16,147,21
GET,/products/666,200,124,1025,9
POST,/payments,201,380,1246,11
GET,/users/1593,200,99,692,13
POST,/api/search,200,295,920,18
GET,/products/244,200,121,977,19
POST,/payments,201,358,1410,19
GET,/health,200,14,146,21
GET,/health,200,14,162,10
POST,/api/search,200,282,1007,22
GET,/products/49,200,137,897,19
GET,/users/4854,200,100,821,19
POST,/payments,201,335,1644,14
GET,/products/265,200,164,985,14
POST,/payments,201,294,1608,16
GET,/users,200,122,893,12
GET,/users,200,118,1068,10
POST,/api/search,200,306,1070,22
GET,/products/441,200,100,971,13
GET,/products/578,200,141,987,21
POST,/payments,201,405,1489,18
GET,/users/3931,200,84,742,19
GET,/products/855,200,130,1016,10
GET,/health,200,10,159,3
GET,/users,200,115,1162,18
POST,/payments,201,320,1568,11
GET,/users/959,200,122,765,18
GET,/users/3494,200,96,795,18
POST,/api/search,200,231,1008,18
GET,/products/355,200,6733,1082,3
GET,/health,200,8,151,21
GET,/products/709,200,128,1114,16
GET,/products/24,200,158,964,19
POST,/api/search,200,344,962,22
POST,/payments,201,316,1374,10
GET,/health,200,14,160,7
GET,/health,200,4,147,8
POST,/payments,201,349,1477,13
GET,/health,200,13,154,0
GET,/products/858,200,131,1010,12
GET,/health,200,17,139,18
GET,/health,200,9,158,15
POST,/api/search,200,287,1038,12
GET,/users,200,124,1160,16
GET,/users/149,200,109,857,18
GET,/users,200,112,1043,17
GET,/products/129,200,111,936,10
POST,/api/search,200,308,865,23
GET,/users,200,143,920,11
POST,/api/search,200,228,1089,13
GET,/health,200,4,160,10
GET,/users,200,138,975,13
GET,/users,200,106,1005,15
POST,/payments,201,385,1567,11
GET,/products/135,200,122,850,15
POST,/api/search,404,232,1115,21
POST,/payments,201,321,1549,22
POST,/api/search,200,229,1026,12
GET,/users,200,118,1170,17
POST,/api/search,404,255,1069,23
GET,/users,200,113,989,17
POST,/api/search,200,257,1191,22
POST,/api/search,500,5524,500,19
GET,/users/642,200,100,741,12
POST,/api/search,200,222,1035,12
GET,/users/2819,200,104,741,13
GET,/products/398,200,115,738,14
GET,/products/325,200,154,929,13
GET,/users,200,135,976,16
GET,/users/4505,200,80,691,13
POST,/api/search,200,323,1046,20
POST,/payments,201,353,1601,11
GET,/products/651,200,119,925,18
GET,/users/466,200,97,750,17
GET,/products/628,200,118,887,9
GET,/products/734,200,148,904,11
POST,/payments,201,378,1405,21
GET,/products/865,200,133,1052,10
GET,/health,200,7,162,18
GET,/users,200,106,988,14
GET,/users/1396,200,93,840,8
GET,/users,200,122,1236,12
POST,/payments,201,385,1578,17
GET,/products/791,200,154,954,9
POST,/payments,201,405,1554,10
GET,/users/1773,200,90,840,9
POST,/payments,201,291,1520,18
POST,/payments,201,349,1632,12
GET,/users,200,128,1025,12
POST,/payments,201,369,1450,20
POST,/api/search,200,241,994,15
POST,/payments,201,370,1391,20
POST,/payments,201,356,1538,13
POST,/api/search,200,255,940,16
GET,/products/695,200,119,1083,12
POST,/payments,201,342,1735,17
GET,/users/1579,200,82,811,13
GET,/users,200,149,1001,8
GET,/health,200,13,169,18
GET,/products/180,200,139,879,18
GET,/health,200,13,151,14
POST,/api/search,200,248,867,20
GET,/users,200,104,1072,16
POST,/api/search,200,279,1014,14
GET,/products/240,200,115,938,9
POST,/payments,201,339,1649,10
GET,/health,200,12,152,15
GET,/users,200,128,956,15
GET,/health,200,14,147,7
GET,/users/694,200,103,788,9
GET,/products/461,200,158,1146,9
POST,/payments,201,368,1737,12
POST,/payments,201,353,1565,22
GET,/health,200,7,148,21
GET,/health,200,16,142,10
GET,/users,200,111,1016,14
GET,/shell.php,404,11,109,4
GET,/health,200,11,162,1
GET,/users/2565,200,100,847,19
GET,/health,200,13,149,2
POST,/users,200,2732,114355,21
POST,/payments,201,296,1405,14
POST,/api/search,200,236,934,21
GET,/health,200,15,146,9
GET,/users/3228,200,93,770,20
GET,/users,200,146,1014,16
POST,/api/search,200,295,1061,21
POST,/api/search,200,241,1089,18
GET,/health,200,10,137,13
POST,/api/search,200,243,818,20
POST,/payments,201,395,1619,12
POST,/api/search,200,272,857,15
POST,/payments,201,294,1463,20
GET,/products/799,200,116,774,17
GET,/products/627,200,123,1098,10
POST,/payments,201,355,1494,18
POST,/payments,201,372,1478,18
POST,/payments,201,378,1734,10
GET,/health,200,14,137,6
GET,/health,200,13,164,19
POST,/api/search,200,222,931,14
GET,/products/185,200,121,990,16
GET,/health,200,10,143,8
GET,/health,200,12,147,13
GET,/products/125,200,115,839,19
GET,/users/3451,200,105,809,17
POST,/api/search,200,293,1057,20
GET,/health,200,14,156,21
POST,/api/search,200,241,849,19
GET,/health,200,10,155,9
GET,/health,200,11,152,15
POST,/payments,201,420,1547,20
GET,/wp-admin.php,400,8,113,3
GET,/health,200,9,150,17
GET,/users/2545,200,108,760,9
POST,/api/search,200,269,1059,15
GET,/health,200,13,135,4
GET,/users,200,126,1033,18
GET,/health,200,12,127,11
GET,/users/866,200,95,739,13
GET,/products/795,404,147,917,10
GET,/health,200,14,147,8
GET,/users,200,135,1030,16
GET,/products/823,200,120,992,16
GET,/products/770,200,116,1010,15
GET,/products/318,200,162,732,18
POST,/api/search,200,208,972,18
GET,/users,200,137,1092,9
GET,/users/566,200,86,717,11
POST,/api/search,200,276,934,23
GET,/users,200,127,1182,16
GET,/health,200,12,159,16
GET,/users/4907,200,94,827,19
POST,/payments,201,276,1635,11
POST,/payments,201,379,1523,19
GET,/users,200,116,1015,10
POST,/payments,201,348,1430,15
GET,/health,200,11,152,0
POST,/payments,201,414,1511,17
GET,/health,200,17,157,12
GET,/users/316,200,90,806,20
GET,/products/426,200,135,946,16
GET,/users,200,134,1097,18
POST,/api/search,200,301,1015,18
GET,/health,200,10,141,19
GET,/users,200,126,1000,16
GET,/users/4569,200,95,704,9
GET,/users/3964,200,112,858,8
GET,/products/607,200,132,1001,14
POST,/api/search,200,299,964,12
GET,/products/609,200,109,884,19
GET,/products/871,200,109,1022,16
GET,/users/3392,200,96,799,11
POST,/payments,201,360,1496,18
POST,/payments,201,362,1360,18
GET,/products/682,200,121,877,20
POST,/payments,201,291,1467,20
GET,/users/3274,200,72,750,19
GET,/users/908,200,99,837,15
POST,/payments,201,304,1219,20
GET,/users,200,124,976,10
GET,/users/2003,200,136,797,16
GET,/users/3811,200,94,826,19
GET,/products/522,200,141,949,15
GET,/health,200,10,155,21
GET,/users,200,121,919,12
POST,/api/search,200,202,982,13
GET,/setup.php,403,3,147,3
GET,/health,200,9,149,14
POST,/api/search,200,286,917,14
POST,/api/search,200,266,1033,13
POST,/api/search,200,197,1032,18
GET,/users/4799,200,91,875,17
POST,/payments,201,353,1410,22
GET,/users,200,121,994,12
POST,/api/search,200,247,856,22
GET,/health,200,14,164,18
GET,/users/195,200,93,838,12
POST,/api/search,200,251,1023,17
POST,/payments,201,382,1344,10
GET,/health,200,15,151,13
POST,/payments,201,387,1540,20
GET,/users,200,116,1108,15
POST,/api/search,200,260,883,14
GET,/users/4216,200,91,783,19
GET,/products/393,200,118,916,15
GET,/users/737,200,79,814,15
GET,/products/644,200,124,808,19
GET,/users/3325,200,103,718,16
POST,/api/search,200,257,1044,21
GET,/users,200,111,1195,18
GET,/users/4399,200,100,943,9
GET,/products/557,200,126,1095,15
GET,/users,200,109,1054,9
GET,/health,200,8,132,0
GET,/users/2890,200,88,831,9
GET,/users,200,145,1054,14
POST,/api/search,200,239,900,18
GET,/users/2974,200,85,769,20
GET,/health,200,11,141,0
GET,/health,200,15,152,0
GET,/health,200,8,151,21
GET,/health,200,13,143,9
POST,/api/search,200,232,784,15
POST,/api/search,200,295,985,19
POST,/api/search,200,256,998,15
POST,/api/search,200,256,926,18
POST,/payments,201,346,1600,18
GET,/users,404,109,1269,13
GET,/users,200,113,983,16
GET,/products/339,200,138,938,12
GET,/.env,404,28,142,5
GET,/users/659,200,93,698,16
GET,/products/874,404,127,981,13
GET,/users,200,119,1044,17
GET,/products/330,404,128,939,13
GET,/users/2930,200,96,799,18
GET,/users,200,138,1048,13
GET,/products/879,200,114,950,10
GET,/users/3754,200,80,814,8
GET,/products/158,200,124,904,16
POST,/users,502,2734,500,21
GET,/products/112,200,133,901,12
GET,/users,200,123,1113,16
POST,/payments,201,333,1568,11
POST,/payments,201,379,1481,10
GET,/users/1924,200,82,778,15
GET,/users,200,126,1050,17
GET,/products/415,200,124,909,13
GET,/health,200,16,162,12
GET,/users/1155,200,87,672,18
GET,/users/3343,200,106,779,8
GET,/users,200,132,978,13
GET,/products/398,200,99,819,13
GET,/health,200,10,152,17
GET,/products/390,200,156,997,18
POST,/api/search,200,222,1048,18
GET,/users/2553,200,91,830,9
GET,/products/703,200,135,1001,9
POST,/api/search,200,226,919,12
POST,/api/search,200,248,1012,12
GET,/products/547,200,122,1016,14
POST,/api/search,200,230,1150,20
GET,/users/3712,200,99,683,19
POST,/payments,201,311,1467,12
GET,/products/407,200,6866,441,12
GET,/users,200,120,1064,17
POST,/payments,201,356,1564,10
GET,/users,200,105,1057,15
POST,/api/search,200,272,1070,18
POST,/api/search,200,229,1008,21
GET,/health,200,17,168,13
POST,/api/search,200,283,1027,23
POST,/api/search,200,233,1014,21
GET,/health,200,11,139,10
POST,/payments,201,318,1609,16
GET,/products/475,200,144,912,20
GET,/users,200,133,1064,10
GET,/users/719,200,99,658,9
GET,/health,200,9,152,7
GET,/users/2623,200,96,898,9
GET,/users/4716,200,103,798,10
GET,/users/141,200,95,745,20
GET,/users/4698,200,89,735,20
GET,/users/1138,200,93,707,20
GET,/users,200,100,1114,16
GET,/users/530,200,98,837,14
GET,/health,200,14,143,5
POST,/payments,201,324,1488,22
POST,/payments,201,309,1483,13
POST,/api/search,200,269,912,14
GET,/users/4951,200,98,739,15
GET,/products/416,200,126,914,13
GET,/health,200,12,166,12
GET,/health,200,10,159,21
GET,/health,200,15,164,23
POST,/payments,201,391,1549,15
GET,/health,200,10,158,13
GET,/users,200,117,1024,13
POST,/payments,201,469,1508,19
GET,/health,200,15,153,2
POST,/api/search,200,223,879,23
POST,/payments,201,455,1531,18
GET,/users,200,142,1108,14
GET,/users/4579,200,85,754,10
GET,/users,200,119,1018,16
GET,/health,200,8,134,10
GET,/products/575,200,116,882,13
GET,/users,200,139,968,15
GET,/users/1796,200,83,918,9
GET,/products/583,200,123,1087,15
GET,/users/2461,200,89,830,20
GET,/health,200,12,154,19
POST,/payments,201,372,1368,14
POST,/payments,201,410,1367,16
GET,/users,200,7789,883,13
POST,/api/search,200,294,1069,16
POST,/payments,201,300,1543,17
GET,/products/652,200,147,1008,9
GET,/users/534,200,86,781,13
GET,/users/211,200,104,790,12
GET,/users,200,118,1037,10
POST,/payments,201,396,1426,14
POST,/api/search,200,266,1039,13
GET,/users/3831,200,93,761,12
GET,/products/453,200,115,993,11
GET,/products/98,200,151,1056,15
GET,/health,200,6,152,21
GET,/users/4624,200,88,815,8
GET,/products/100,200,160,1016,11
GET,/users,200,116,1210,13
GET,/users/3108,200,90,870,18
GET,/health,200,6,148,10
GET,/products/344,200,94,964,15
GET,/products/724,200,121,820,9
POST,/payments,201,338,1572,12
POST,/api/search,200,219,954,20
GET,/products/255,404,123,962,17
POST,/payments,201,318,1502,10
GET,/users/26,200,81,776,9
GET,/products/796,200,124,1024,11
GET,/health,200,11,139,8
GET,/products/32,200,138,970,10
POST,/payments,201,294,1461,17
GET,/products/43,200,129,938,20
GET,/products/684,200,124,958,10
GET,/products/106,200,107,926,11
GET,/products/858,200,121,984,10
GET,/users/1123,200,93,749,14
GET,/users/3148,200,101,800,17
GET,/users/4975,200,95,616,14
GET,/health,200,10,151,13
POST,/payments,201,358,1429,20
GET,/users/4147,200,94,796,19
POST,/api/search,200,230,700,23
GET,/users,200,105,970,16
GET,/products/123,200,121,925,10
POST,/api/search,200,266,1134,22
GET,/health,200,11,146,9
POST,/api/search,200,209,939,12
GET,/users/1777,200,96,820,14
GET,/users/2633,200,66,787,13
POST,/api/search,200,302,924,20
GET,/users/1722,200,95,825,19
POST,/payments,201,321,1439,19
GET,/users/2542,200,83,779,19
GET,/health,200,12,135,18
GET,/users,404,119,1093,15
